operator,run,case,first_npu,workers,route,seed,iteration,warmup,ingress_bytes,egress_bytes,complete_us,directional_gb_s,status,correct
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,0,True,536870912,1073741824,20140.531,53.3124883351,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,1,True,536870912,1073741824,19903.502,53.947381923,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,2,True,536870912,1073741824,19817.051,54.1827249675,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,3,False,536870912,1073741824,20024.615,53.6210970348,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,4,False,536870912,1073741824,19733.616,54.41181302,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,5,False,536870912,1073741824,19921.91,53.897534122,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,6,False,536870912,1073741824,19925.356,53.8882127878,0,True
D,isolated_plane,p8_random_k2_gpu2,8,4,random_k2_gpu2,20260909,7,False,536870912,1073741824,19979.539,53.7420720268,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,0,True,536870912,1073741824,19883.426,54.0018517935,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,1,True,536870912,1073741824,19737.754,54.4004056389,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,2,True,536870912,1073741824,19618.733,54.7304366699,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,3,False,536870912,1073741824,19592.364,54.8040973514,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,4,False,536870912,1073741824,19547.458,54.9299977521,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,5,False,536870912,1073741824,19723.298,54.4402778886,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,6,False,536870912,1073741824,19497.72,55.0701222502,0,True
D,isolated_plane,p8_sym_k2_balanced,8,4,sym_k2_balanced,20260909,7,False,536870912,1073741824,19588.594,54.8146448898,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,0,True,268435456,536870912,14290.177,37.569227589,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,1,True,268435456,536870912,14113.538,38.0394279592,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,2,True,268435456,536870912,14138.079,37.9733987906,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,3,False,268435456,536870912,14116.736,38.0308105216,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,4,False,268435456,536870912,14129.86,37.9954870041,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,5,False,268435456,536870912,14123.297,38.0131432484,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,6,False,268435456,536870912,14117.503,38.0287443183,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,7,False,268435456,536870912,14124.582,38.0096849592,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,8,False,268435456,536870912,14110.935,38.0464449733,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,9,False,268435456,536870912,14120.106,38.0217338312,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,10,False,268435456,536870912,14124.826,38.009028359,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,11,False,268435456,536870912,14114.667,38.0363852721,0,True
D,plane_b_formal,w2_random_k2_gpu2,8,2,random_k2_gpu2,20260909,12,False,268435456,536870912,14145.123,37.9544887662,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,0,True,536870912,1073741824,20163.52,53.2517052578,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,1,True,536870912,1073741824,20018.576,53.6372729009,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,2,True,536870912,1073741824,20000.767,53.685032379,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,3,False,536870912,1073741824,19844.799,54.1069639456,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,4,False,536870912,1073741824,20006.533,53.6695600382,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,5,False,536870912,1073741824,20019.955,53.6335782973,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,6,False,536870912,1073741824,19892.587,53.976982682,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,7,False,536870912,1073741824,19859.326,54.0673849656,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,8,False,536870912,1073741824,19895.062,53.9702677981,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,9,False,536870912,1073741824,20210.113,53.1289371811,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,10,False,536870912,1073741824,20223.205,53.0945428284,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,11,False,536870912,1073741824,19636.053,54.682161634,0,True
D,plane_b_formal,w4_random_k2_gpu2,8,4,random_k2_gpu2,20260909,12,False,536870912,1073741824,20036.535,53.5891971341,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,0,True,536870912,1073741824,20584.996,52.1613812313,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,1,True,536870912,1073741824,19981.104,53.7378627327,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,2,True,536870912,1073741824,20211.848,53.1243765538,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,3,False,536870912,1073741824,20098.6,53.4237122984,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,4,False,536870912,1073741824,20197.331,53.1625601422,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,5,False,536870912,1073741824,20267.137,52.9794525986,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,6,False,536870912,1073741824,19912.649,53.9226008554,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,7,False,536870912,1073741824,20275.314,52.9580860745,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,8,False,536870912,1073741824,20021.947,53.6282422484,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,9,False,536870912,1073741824,20100.708,53.4181096507,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,10,False,536870912,1073741824,20395.594,52.6457735921,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,11,False,536870912,1073741824,20162.082,53.2555032759,0,True
D,plane_b_formal,w4_random_k4_gpu2,8,4,random_k4_gpu2,20260909,12,False,536870912,1073741824,20191.686,53.1774228264,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,0,True,536870912,2147483648,43218.53,49.688956288,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,1,True,536870912,2147483648,32512.244,66.0515357845,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,2,True,536870912,2147483648,32407.716,66.2645787195,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,3,False,536870912,2147483648,35815.91,59.9589302073,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,4,False,536870912,2147483648,39867.226,53.8658909451,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,5,False,536870912,2147483648,35103.09,61.1764846912,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,6,False,536870912,2147483648,36142.908,59.4164600148,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,7,False,536870912,2147483648,31154.278,68.9306183889,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,8,False,536870912,2147483648,35183.624,61.0364540049,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,9,False,536870912,2147483648,35551.137,60.4054843028,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,10,False,536870912,2147483648,35349.096,60.750737388,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,11,False,536870912,2147483648,30319.915,70.8274956576,0,True
D,plane_b_formal,w4_random_k4_gpu4,8,4,random_k4_gpu4,20260909,12,False,536870912,2147483648,35436.789,60.6004016899,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,0,True,536870912,2147483648,34214.81,62.7647398305,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,1,True,536870912,2147483648,39216.776,54.7593113723,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,2,True,536870912,2147483648,39843.28,53.8982646007,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,3,False,536870912,2147483648,40603.256,52.8894443342,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,4,False,536870912,2147483648,36359.172,59.0630514908,0,True
