case,workers,first_npu,rows,hidden,topk,mode,route,seed,warmup,measure,delay_ms,correct,minimum_gb_s,mean_gb_s,cv_percent,mean_us
push_ready_k2,4,0,"8192,8192,8192,8192",8192,2,combine,random_expert,17,3,10,0,True,70.9719,71.2381,0.215227,26536.6
push_ready_k4,4,0,"8192,8192,8192,8192",8192,4,combine,random_expert,17,3,10,0,True,72.0904,72.2977,0.191833,41219.7
