[STAGE] pe=3 initialized
[STAGE] pe=3 prepared iteration=0
[STAGE] pe=3 launch iteration=0
[STAGE] pe=3 kernel_status=0 iteration=0
[STAGE] pe=3 prepared iteration=1
[STAGE] pe=3 launch iteration=1
[STAGE] pe=3 kernel_status=0 iteration=1
[STAGE] pe=3 prepared iteration=2
[STAGE] pe=3 launch iteration=2
[STAGE] pe=3 kernel_status=0 iteration=2
