[STAGE] pe=1 initialized
[STAGE] pe=1 prepared iteration=0
[STAGE] pe=1 launch iteration=0
[STAGE] pe=1 kernel_status=0 iteration=0
[STAGE] pe=1 prepared iteration=1
[STAGE] pe=1 launch iteration=1
[STAGE] pe=1 kernel_status=0 iteration=1
[STAGE] pe=1 prepared iteration=2
[STAGE] pe=1 launch iteration=2
[STAGE] pe=1 kernel_status=0 iteration=2
